ip;hostname;year;month;day;hour;minute;second
207.30.238.8;host8.topspot.net;2005;Jul;17;12;31;0
207.30.238.8;host8.topspot.net;2005;Jul;17;12;31;4
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;39
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;43
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;43
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;44
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;47
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;48
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;49
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;49
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;49
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;49
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;54
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;54
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;54
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;55
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;57
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;59
207.30.238.8;host8.topspot.net;2005;Jul;17;14;2;59
207.30.238.8;host8.topspot.net;2005;Jul;17;14;3;0
207.30.238.8;host8.topspot.net;2005;Jul;17;14;3;0
207.30.238.8;host8.topspot.net;2005;Jul;17;14;3;0
207.30.238.8;host8.topspot.net;2005;Jul;17;14;3;4
207.30.238.8;host8.topspot.net;2005;Jul;17;14;3;4
207.30.238.8;host8.topspot.net;2005;Jul;17;14;3;5
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;15
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;16
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;16
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;16
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;16
203.101.45.59;dsl-Chn-static-059.45.101.203.touchtelindia.net;2005;Jul;17;15;9;17
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;20
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;23
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;24
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;24
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;24
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;24
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;24
82.68.222.194;82-68-222-194.dsl.in-addr.zen.co.uk;2005;Jul;17;21;23;24
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;50
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
82.68.222.195;82-68-222-195.dsl.in-addr.zen.co.uk;2005;Jul;17;23;21;54
